0.00000000 0.10222
0.03448276 0.08971
0.06896552 0.07793
0.10344828 0.06729
0.13793103 0.05840
0.17241380 0.05124
0.20689656 0.04738
0.24137931 0.04778
0.27586207 0.05233
0.31034482 0.05925
0.34482759 0.06832
0.37931034 0.07889
0.41379312 0.09005
0.44827586 0.10200
0.48275861 0.11392
0.51724136 0.12618
0.55172414 0.13840
0.58620691 0.15082
0.62068963 0.16323
0.65517241 0.17559
0.68965518 0.18789
0.72413790 0.20009
0.75862068 0.21221
0.79310346 0.22429
0.82758623 0.23623
0.86206895 0.24799
0.89655173 0.25961
0.93103451 0.27110
0.96551722 0.28244
1.00000000 0.29354
