    -0.628319     0.000000   -4.248097
    -0.622035     0.000000   -4.248857
    -0.615752     0.000000   -4.249611
    -0.609469     0.000000   -4.250362
    -0.603186     0.000000   -4.251107
    -0.596903     0.000000   -4.251847
    -0.590619     0.000000   -4.252581
    -0.584336     0.000000   -4.253310
    -0.578053     0.000000   -4.254034
    -0.571770     0.000000   -4.254752
    -0.565487     0.000000   -4.255464
    -0.559203     0.000000   -4.256169
    -0.552920     0.000000   -4.256869
    -0.546637     0.000000   -4.257562
    -0.540354     0.000000   -4.258249
    -0.534071     0.000000   -4.258929
    -0.527788     0.000000   -4.259602
    -0.521504     0.000000   -4.260269
    -0.515221     0.000000   -4.260928
    -0.508938     0.000000   -4.261580
    -0.502655     0.000000   -4.262225
    -0.496372     0.000000   -4.262862
    -0.490088     0.000000   -4.263492
    -0.483805     0.000000   -4.264114
    -0.477522     0.000000   -4.264728
    -0.471239     0.000000   -4.265334
    -0.464956     0.000000   -4.265933
    -0.458673     0.000000   -4.266523
    -0.452389     0.000000   -4.267104
    -0.446106     0.000000   -4.267678
    -0.439823     0.000000   -4.268243
    -0.433540     0.000000   -4.268799
    -0.427257     0.000000   -4.269346
    -0.420973     0.000000   -4.269885
    -0.414690     0.000000   -4.270414
    -0.408407     0.000000   -4.270935
    -0.402124     0.000000   -4.271446
    -0.395841     0.000000   -4.271949
    -0.389557     0.000000   -4.272441
    -0.383274     0.000000   -4.272925
    -0.376991     0.000000   -4.273399
    -0.370708     0.000000   -4.273863
    -0.364425     0.000000   -4.274317
    -0.358142     0.000000   -4.274762
    -0.351858     0.000000   -4.275196
    -0.345575     0.000000   -4.275621
    -0.339292     0.000000   -4.276036
    -0.333009     0.000000   -4.276440
    -0.326726     0.000000   -4.276834
    -0.320442     0.000000   -4.277218
    -0.314159     0.000000   -4.277592
    -0.307876     0.000000   -4.277955
    -0.301593     0.000000   -4.278307
    -0.295310     0.000000   -4.278649
    -0.289027     0.000000   -4.278980
    -0.282743     0.000000   -4.279300
    -0.276460     0.000000   -4.279609
    -0.270177     0.000000   -4.279908
    -0.263894     0.000000   -4.280195
    -0.257611     0.000000   -4.280472
    -0.251327     0.000000   -4.280737
    -0.245044     0.000000   -4.280991
    -0.238761     0.000000   -4.281234
    -0.232478     0.000000   -4.281466
    -0.226195     0.000000   -4.281686
    -0.219911     0.000000   -4.281895
    -0.213628     0.000000   -4.282092
    -0.207345     0.000000   -4.282278
    -0.201062     0.000000   -4.282452
    -0.194779     0.000000   -4.282615
    -0.188496     0.000000   -4.282766
    -0.182212     0.000000   -4.282905
    -0.175929     0.000000   -4.283032
    -0.169646     0.000000   -4.283148
    -0.163363     0.000000   -4.283252
    -0.157080     0.000000   -4.283344
    -0.150796     0.000000   -4.283423
    -0.144513     0.000000   -4.283491
    -0.138230     0.000000   -4.283547
    -0.131947     0.000000   -4.283591
    -0.125664     0.000000   -4.283623
    -0.119381     0.000000   -4.283642
    -0.113097     0.000000   -4.283650
    -0.106814     0.000000   -4.283645
    -0.100531     0.000000   -4.283628
    -0.094248     0.000000   -4.283598
    -0.087965     0.000000   -4.283557
    -0.081681     0.000000   -4.283503
    -0.075398     0.000000   -4.283437
    -0.069115     0.000000   -4.283358
    -0.062832     0.000000   -4.283267
    -0.056549     0.000000   -4.283164
    -0.050265     0.000000   -4.283048
    -0.043982     0.000000   -4.282920
    -0.037699     0.000000   -4.282779
    -0.031416     0.000000   -4.282626
    -0.025133     0.000000   -4.282460
    -0.018850     0.000000   -4.282282
    -0.012566     0.000000   -4.282091
    -0.006283     0.000000   -4.281888
     0.000000     0.000000   -4.281684
     0.006283     0.000000   -4.281898
     0.012566     0.000000   -4.282101
     0.018850     0.000000   -4.282292
     0.025133     0.000000   -4.282471
     0.031416     0.000000   -4.282637
     0.037699     0.000000   -4.282790
     0.043982     0.000000   -4.282931
     0.050265     0.000000   -4.283059
     0.056549     0.000000   -4.283175
     0.062832     0.000000   -4.283279
     0.069115     0.000000   -4.283370
     0.075398     0.000000   -4.283449
     0.081681     0.000000   -4.283515
     0.087965     0.000000   -4.283569
     0.094248     0.000000   -4.283611
     0.100531     0.000000   -4.283640
     0.106814     0.000000   -4.283657
     0.113097     0.000000   -4.283662
     0.119381     0.000000   -4.283655
     0.125664     0.000000   -4.283635
     0.131947     0.000000   -4.283603
     0.138230     0.000000   -4.283560
     0.144513     0.000000   -4.283504
     0.150796     0.000000   -4.283436
     0.157080     0.000000   -4.283356
     0.163363     0.000000   -4.283264
     0.169646     0.000000   -4.283160
     0.175929     0.000000   -4.283044
     0.182212     0.000000   -4.282917
     0.188496     0.000000   -4.282777
     0.194779     0.000000   -4.282626
     0.201062     0.000000   -4.282464
     0.207345     0.000000   -4.282289
     0.213628     0.000000   -4.282103
     0.219911     0.000000   -4.281906
     0.226195     0.000000   -4.281697
     0.232478     0.000000   -4.281476
     0.238761     0.000000   -4.281244
     0.245044     0.000000   -4.281001
     0.251327     0.000000   -4.280747
     0.257611     0.000000   -4.280481
     0.263894     0.000000   -4.280204
     0.270177     0.000000   -4.279916
     0.276460     0.000000   -4.279618
     0.282743     0.000000   -4.279308
     0.289027     0.000000   -4.278987
     0.295310     0.000000   -4.278656
     0.301593     0.000000   -4.278314
     0.307876     0.000000   -4.277961
     0.314159     0.000000   -4.277597
     0.320442     0.000000   -4.277224
     0.326726     0.000000   -4.276839
     0.333009     0.000000   -4.276445
     0.339292     0.000000   -4.276040
     0.345575     0.000000   -4.275625
     0.351858     0.000000   -4.275200
     0.358142     0.000000   -4.274764
