

    -0.042186    -0.041163     0.441635     0.577222     0.000745
     0.042186     0.041163     0.472835     0.577222     0.000794


    -0.054240    -0.019209     0.461435     0.584444     0.000378
    -0.054240    -0.019209     0.462035     0.584444     0.000856
    -0.054240    -0.019209     0.462635     0.584444     0.000888
    -0.054240    -0.019209     0.463235     0.584444     0.000327
    -0.036160    -0.046651     0.436835     0.584444     0.000768
    -0.036160    -0.046651     0.437435     0.584444     0.000043
    -0.036160    -0.046651     0.438035     0.584444     0.000560
     0.036160     0.046651     0.476435     0.584444     0.000518
     0.036160     0.046651     0.477035     0.584444     0.000093
     0.036160     0.046651     0.477635     0.584444     0.000599
     0.054240     0.019209     0.451235     0.584444     0.000482
     0.054240     0.019209     0.451835     0.584444     0.000827
     0.054240     0.019209     0.453035     0.584444     0.000169


    -0.056249    -0.013721     0.466835     0.591667     0.000896
    -0.028124    -0.052139     0.434435     0.591667     0.000343
    -0.028124    -0.052139     0.435035     0.591667     0.000511
    -0.028124    -0.052139     0.435635     0.591667     0.000165
    -0.022098    -0.054884     0.435635     0.591667     0.000898
     0.022098     0.054884     0.478835     0.591667     0.000848
     0.028124     0.052139     0.478835     0.591667     0.000127
     0.028124     0.052139     0.479435     0.591667     0.000634
     0.028124     0.052139     0.480035     0.591667     0.000208
     0.032142     0.049395     0.478835     0.591667     0.000923


    -0.056249    -0.010977     0.466835     0.598889     0.000302
    -0.056249    -0.010977     0.469835     0.598889     0.000311
    -0.056249    -0.008233     0.468635     0.598889     0.000811
    -0.056249    -0.008233     0.469235     0.598889     0.000614
    -0.056249    -0.008233     0.469835     0.598889     0.000969
    -0.032142    -0.049395     0.435035     0.598889     0.000286
    -0.032142    -0.049395     0.435635     0.598889     0.000185
    -0.032142    -0.049395     0.436235     0.598889     0.000862
    -0.028124    -0.052139     0.433235     0.598889     0.000347
    -0.028124    -0.052139     0.435635     0.598889     0.000469
    -0.022098    -0.054884     0.433835     0.598889     0.000133
    -0.022098    -0.054884     0.436235     0.598889     0.000075
    -0.020089    -0.054884     0.435035     0.598889     0.000177
    -0.020089    -0.054884     0.436835     0.598889     0.000800
    -0.020089    -0.054884     0.437435     0.598889     0.000650
    -0.018080     0.052139     0.456035     0.598889     0.000875
    -0.018080     0.052139     0.456635     0.598889     0.000257
    -0.018080     0.052139     0.457235     0.598889     0.000111
    -0.018080     0.052139     0.457835     0.598889     0.000486
    -0.016071     0.052139     0.458435     0.598889     0.000883
    -0.010044     0.054884     0.460235     0.598889     0.000793
    -0.010044     0.054884     0.460835     0.598889     0.000258
    -0.010044     0.054884     0.461435     0.598889     0.000856
    -0.010044     0.054884     0.462035     0.598889     0.000743
    -0.010044     0.054884     0.462635     0.598889     0.000028
    -0.008036     0.054884     0.461435     0.598889     0.000505
    -0.008036     0.054884     0.462035     0.598889     0.000921
    -0.008036     0.054884     0.464435     0.598889     0.000013
    -0.006027     0.054884     0.463835     0.598889     0.000806
    -0.006027     0.054884     0.464435     0.598889     0.000592
    -0.006027     0.054884     0.465035     0.598889     0.000926
     0.006027    -0.054884     0.449435     0.598889     0.000912
     0.006027    -0.054884     0.450035     0.598889     0.000581
     0.006027    -0.054884     0.450635     0.598889     0.000797
     0.008036    -0.054884     0.450035     0.598889     0.000012
     0.008036    -0.054884     0.452435     0.598889     0.000903
     0.008036    -0.054884     0.453035     0.598889     0.000521
     0.010044    -0.054884     0.451835     0.598889     0.000069
